x,Sample1,Sample2,Sample3,Sample4
470.575,4.68E-06,2.89E-06,9.59E-07,1.56E-06
470.65,1.64E-06,5.82E-08,6.25E-08,5.41E-07
470.725,2.46E-06,0,0,3.70E-08
470.8,5.57E-06,0,3.46E-07,3.69E-07
470.875,4.33E-06,0,6.68E-07,1.64E-06
470.95,1.38E-06,4.26E-07,2.74E-07,1.73E-06
471.025,3.68E-07,5.12E-06,0,1.44E-06
471.1,4.04E-06,3.21E-06,0,1.35E-06
471.175,2.65E-06,3.93E-06,0,2.64E-06
471.25,3.61E-07,4.16E-06,0,3.25E-06
471.325,0,3.83E-07,4.05E-07,2.13E-06
471.4,0,0,8.90E-07,8.40E-07
471.475,0,0,1.94E-06,1.27E-06
471.55,9.56E-07,0,7.25E-07,4.81E-07
471.625,3.85E-06,0,1.21E-06,3.83E-07
471.7,6.02E-06,4.40E-07,1.11E-06,5.37E-07
471.775,2.95E-06,3.21E-06,8.94E-07,1.06E-06
471.85,4.50E-07,4.58E-06,3.18E-07,1.58E-06
471.925,0,4.29E-07,8.55E-07,2.46E-06
472,0,0,8.20E-08,2.21E-06
472.075,0,4.16E-07,7.91E-08,2.14E-06
472.15,0,5.02E-06,8.13E-07,1.39E-06
472.225,0,2.77E-06,5.20E-07,8.90E-07
472.3,0,3.59E-07,7.06E-07,1.09E-06
472.375,1.47E-07,5.79E-09,1.41E-06,2.18E-06
472.45,2.06E-06,1.99E-06,8.73E-07,1.92E-06
472.525,4.36E-06,4.75E-06,3.21E-08,2.02E-06
472.6,7.99E-07,1.27E-06,0,1.72E-06
472.675,0,6.52E-07,0,1.51E-06
472.75,0,4.55E-06,0,1.04E-06
472.825,0,3.27E-06,3.14E-07,1.86E-06
472.9,0,3.24E-07,1.49E-06,2.19E-06
472.975,0,1.32E-07,2.08E-06,1.96E-06
473.05,0,1.80E-06,6.91E-07,7.62E-07
473.125,1.51E-06,6.29E-06,1.25E-06,1.05E-06
473.2,4.61E-06,1.51E-06,9.36E-07,1.13E-06
473.275,5.28E-06,9.36E-08,3.76E-07,2.04E-06
473.35,2.93E-06,0,0,2.07E-06
473.425,2.85E-06,0,9.54E-09,1.15E-06
473.5,3.42E-06,0,4.25E-07,8.34E-07
473.575,1.86E-06,0,1.04E-06,2.25E-06
473.65,3.93E-06,0,1.04E-06,1.57E-06
473.725,1.08E-06,0,1.09E-06,7.64E-07
473.8,0,5.75E-07,1.06E-06,7.15E-07
473.875,0,4.87E-06,1.17E-06,1.92E-06
473.95,3.32E-07,6.77E-06,1.17E-06,1.62E-06
474.025,3.13E-06,4.31E-06,1.70E-06,1.04E-06
474.1,6.23E-06,0,1.87E-06,1.01E-06
474.175,4.99E-06,0,1.09E-06,1.26E-06
474.25,6.18E-07,0,4.05E-07,2.36E-06
474.325,1.01E-06,1.10E-06,6.84E-07,2.80E-06
474.4,3.52E-06,3.92E-06,1.17E-06,2.77E-06
474.475,2.34E-06,2.98E-06,4.72E-07,2.41E-06
474.55,2.44E-07,0,6.86E-08,2.07E-06
474.625,2.53E-06,0,4.21E-07,2.98E-06
474.7,4.19E-06,0,6.67E-07,2.59E-06
474.775,6.06E-07,0,4.99E-07,1.58E-06
474.85,0,1.08E-06,2.50E-07,6.86E-07
474.925,0,1.03E-05,2.95E-06,7.34E-07
475,0,5.49E-06,2.45E-06,1.23E-06
475.075,1.61E-07,6.28E-07,2.64E-06,1.63E-06
475.15,2.71E-06,0,1.52E-06,1.72E-06
475.225,3.66E-06,0,1.62E-06,1.88E-06
475.3,2.42E-06,0,4.06E-07,9.30E-07
475.375,3.61E-06,1.45E-06,7.50E-07,7.69E-07
475.45,1.54E-06,4.01E-06,4.28E-07,1.59E-06
475.525,6.62E-07,2.53E-06,6.64E-07,2.67E-06
475.6,3.27E-06,0,4.87E-07,3.00E-06
475.675,3.02E-06,0,1.11E-08,3.69E-06
475.75,1.39E-06,0,3.94E-07,3.24E-06
475.825,0,0,9.96E-07,1.70E-06
475.9,0,0,1.03E-06,1.23E-06
475.975,0,0,2.01E-07,2.12E-06
476.05,0,0,3.05E-07,1.33E-06
476.125,0,0,2.66E-06,2.28E-06
476.2,0,3.07E-07,2.24E-06,2.40E-06
476.275,0,5.73E-06,7.29E-07,1.90E-06
476.35,0,9.06E-06,1.32E-06,2.15E-06
476.425,0,1.83E-06,2.11E-06,2.17E-06
476.5,0,0,1.53E-06,2.28E-06
476.575,0,0,9.30E-07,2.96E-06
476.65,9.65E-08,4.43E-06,5.84E-07,3.41E-06
476.725,3.44E-06,1.78E-06,1.87E-06,2.27E-06
476.8,2.94E-06,3.62E-06,1.43E-06,1.55E-06
476.875,5.51E-07,4.71E-06,1.04E-06,2.35E-06
476.95,0,4.54E-07,1.50E-06,1.71E-06
477.025,0,0,1.05E-06,1.11E-06
477.1,0,4.58E-07,3.05E-07,1.06E-06
477.175,0,4.90E-06,1.40E-07,2.37E-06
477.25,5.25E-07,2.91E-06,5.70E-07,2.06E-06
477.325,2.94E-06,3.77E-07,5.78E-07,1.37E-06
477.4,3.50E-06,2.49E-06,0,1.02E-06
477.475,1.54E-07,6.41E-07,3.32E-07,9.13E-07
477.55,0,9.97E-07,7.10E-07,1.24E-06
477.625,0,1.33E-06,2.87E-07,1.51E-06
477.7,0,4.65E-06,6.67E-08,2.66E-06
477.775,4.74E-07,3.73E-06,7.24E-07,2.74E-06
477.85,3.38E-06,6.75E-06,5.93E-07,1.39E-06
477.925,3.58E-06,4.14E-06,5.58E-07,1.65E-06
478,2.65E-06,4.56E-07,7.79E-07,1.37E-06
478.075,6.13E-06,2.34E-08,3.10E-07,1.48E-06
